##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1595027045162 
#Multirun 1 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 100 
#Max_num_of_runs 1 
#U 1 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 0 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q1 q2 q3 q4 q5 rev1 rev2 rev3 rev4 rev5 revavg k1 k2 k3 k4 k5 kavg 
83 0.00 0.09 1.00 1.00 0.00 0.00 0.00 1.00 0.43 0.00 0.29 0 0 0 0 0 0.00 
84 1.00 0.18 0.00 0.00 0.44 0.61 0.00 0.00 0.00 0.00 0.12 0 0 0 0 0 0.00 
85 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
86 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
87 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
88 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
89 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
90 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
91 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
92 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
93 1.00 0.55 1.00 0.00 1.00 0.40 0.00 1.00 0.00 0.49 0.38 0 0 0 0 0 0.00 
94 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
95 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
96 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
97 1.00 0.64 1.00 1.00 1.00 0.47 0.35 1.00 0.87 0.56 0.65 0 0 0 0 0 0.00 
98 0.33 1.00 1.00 1.00 0.67 0.00 0.68 1.00 0.88 0.47 0.60 0 0 0 0 0 0.00 
99 1.00 1.00 1.00 1.00 1.00 0.50 0.55 1.00 0.88 0.47 0.68 0 0 0 0 0 0.00 
